pc11_district_id,pc11_state_id,secc_cons_urban,secc_cons_pc_urban,secc_pov_rate_urban,secc_pov_rate_tend_urban,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
217,10,107718.05941287568,18011.43687919338,0.25190715934520447,0.306038006888662,0.0439544240041768,0.0439544240041768,1.0,1.0
218,10,111645.75087779577,18410.266988135343,0.23598698453624367,0.2890674031822606,0.1288317396795197,0.1288317396795197,1.0,1.0
219,10,102688.69595011098,18301.33078711269,0.24944816462664215,0.3050665918424666,0.0321685607669265,0.0321685607669265,1.0,1.0
220,10,101391.21880114952,17588.906904389343,0.277124480443805,0.3270386596878504,0.0,0.0,1.0,1.0
221,10,116373.32398165904,21714.811205849353,0.1765295418903213,0.21531862389246054,0.1681698545978606,0.1681698545978606,1.0,1.0
222,10,100938.1261052521,19375.86139689057,0.22755020345178592,0.27492798553794295,0.1860858547303285,0.1860858547303285,1.0,1.0
223,10,96993.59296802396,18242.348872138045,0.273020262901284,0.32285890441500864,0.0,0.0,1.0,1.0
224,10,112125.3257015965,20937.34079731674,0.20898988590765732,0.2527568415187909,0.110741006286803,0.110741006286803,1.0,1.0
225,10,97746.79462698771,18953.14670679347,0.23968977785353862,0.28908964361864703,0.0,0.0,1.0,1.0
226,10,103579.37133589774,20193.814146803204,0.15879184460026716,0.20616214180734954,0.0789171840471429,0.0789171840471429,1.0,1.0
227,10,95672.84666203562,16869.752909481722,0.25354441718320353,0.3099959543160077,0.0,0.0,1.0,1.0
228,10,96764.11462655215,16632.017636637043,0.2955334550843751,0.35235714855353717,0.0,0.0,1.0,1.0
229,10,105041.32895957393,17925.29182585966,0.2503239250424088,0.30334786385317986,0.0145710579304381,0.0145710579304381,1.0,1.0
230,10,132432.46226321513,23383.617685026402,0.12610745336329549,0.16124604186538902,0.020066889632107,0.020066889632107,1.0,1.0
231,10,109246.48304730323,17865.715749772033,0.2463820620648764,0.29835773113705827,0.0,0.0,1.0,1.0
232,10,110883.70230235568,19580.396970287846,0.1934959501397926,0.24146600984602717,0.0487540957695791,0.0487540957695791,1.0,1.0
233,10,122014.1328125,20029.25,0.17283058166503906,0.21460361778736115,0.2347379176770219,0.2347379176770219,1.0,1.0
234,10,116172.42047269778,20022.747756724875,0.1830096222872892,0.23109405269731984,0.0576250978925344,0.0576250978925344,1.0,1.0
235,10,111718.91941312556,18231.966264811526,0.2405529471386653,0.2926029976701479,0.095949403429961,0.095949403429961,1.0,1.0
