State,District,lgd_district_code,pc11_district_id,pc11_state_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households,poverty_rate,poverty_log,night_lights_log
Delhi,West,85,96,7,73.06182039977995,14.802832446604592,0.4436525527589234,2543243,533221,0.0471062291522957,0.0460303872500314,3.5734002936786733
Goa,North Goa,551,585,30,77.57237791249617,9.072282911658569,1.9459094333740352,818008,191766,0.038107091130967,0.0373989500683754,1.1044740177849333
Goa,South Goa,552,586,30,74.93287725497841,15.69183357089442,2.6692027722925618,640537,151845,0.0363095668041357,0.0356659088590789,0.7558598264571842
Gujarat,Ahmedabad,438,474,24,70.34952106927436,11.763162363247613,8.20953786407101,7214225,1510134,0.1924549280966019,0.1760141469206597,1.217944737562721
Gujarat,Amreli,439,480,24,58.84199633716886,9.261519360185972,28.2646039992214,1514190,294837,0.1714695778308451,0.1582590100675727,0.3687459782472512
Gujarat,Anand,440,482,24,67.30560575065066,6.177962436895083,38.20437052828061,2092745,427605,0.2497353311300707,0.2229317937992262,0.8366803860774651
Gujarat,Banas Kantha,441,469,24,43.47455545129648,19.599866175549735,23.64763655047032,3120506,560411,0.2824264610704378,0.2487539561228149,0.378814864859807
Gujarat,Bharuch,442,488,24,66.44586428234082,35.4882177458819,36.999777795081485,1551019,333483,0.2131557011516305,0.1932249821132365,1.1565315586757376
Gujarat,Bhavnagar,443,481,24,57.5388227576027,5.768157854994072,25.49075735279295,2880365,538605,0.147770019955377,0.1378209467791065,0.5357096655833443
Gujarat,Dahod,445,485,24,38.56032727564754,76.26837842945702,23.177657911618283,2127086,334272,0.4555979137944886,0.3754167535276413,0.3883177618873265
Gujarat,Dangs,444,489,24,55.6075827727789,95.0825919550048,25.138008587200986,228291,44699,0.6897287940280079,0.5245680391506814,0.0728279148616243
Gujarat,Gandhinagar,446,473,24,67.048267002451,9.111674269787814,21.526006137833527,1391753,289990,0.1611778799159468,0.1494349036551253,1.478115276119672
Gujarat,Jamnagar,447,477,24,57.49865908423819,9.169957766215656,14.787876098955568,2160119,430941,0.1180942600686942,0.1116256825104759,0.7845991854472814
Gujarat,Junagadh,448,479,24,59.44734023242994,11.715435411701144,27.428294415349807,2743082,527326,0.1622189519660465,0.1503310675006541,0.5657695631223398
Gujarat,Kachchh,449,468,24,51.53299304764602,13.52948401597996,20.44001123829405,2092371,445672,0.1473006656264576,0.1374119359905402,0.3068406941311744
Gujarat,Kheda,450,483,24,64.42201195880656,6.781512988692913,33.19924003024369,2299885,466856,0.3088669165436917,0.269161813725369,0.7689332639110282
Gujarat,Mahesana,451,471,24,66.95110286302915,8.436098324180467,27.55149062349735,2035064,424479,0.1941913652289615,0.1774692745142286,0.9301187871243356
Gujarat,Narmada,452,487,24,54.82813585928613,83.03023732121288,53.30142948493162,590297,122174,0.3712265948743572,0.3157056640017315,0.3241291821606023
Gujarat,Navsari,453,490,24,70.97974388609792,50.77364944136599,31.792887898918437,1329672,295131,0.1770791963711765,0.1630361126510091,0.6358724055432731
Gujarat,Panch Mahals,454,484,24,50.07247715487427,34.384233403714944,19.171236285669664,2390776,446611,0.3338580688390263,0.2880755466599204,0.5073594789423636
Gujarat,Patan,455,470,24,52.86653925465513,10.173963001605973,35.53020795984224,1343734,267633,0.2329018577988373,0.209370624744051,0.4088444996445415
Gujarat,Porbandar,456,478,24,60.32008133501613,11.080213647986415,18.56250351775764,585449,124556,0.1331012932418174,0.1249583807344336,0.5508172675603101
Gujarat,Rajkot,457,476,24,66.16973924560942,8.258147201330615,12.92551308402961,3804558,786586,0.0983626329045292,0.0938205553231433,0.8048333941973855
